semaine,dash
2020-04-12,11
2020-04-19,13
2020-04-26,14
2020-05-03,13
2020-05-10,12
2020-05-17,11
2020-05-24,14
2020-05-31,14
2020-06-07,11
2020-06-14,10
2020-06-21,8
2020-06-28,8
2020-07-05,10
2020-07-12,9
2020-07-19,9
2020-07-26,10
2020-08-02,17
2020-08-09,12
2020-08-16,13
2020-08-23,11
2020-08-30,9
2020-09-06,11
2020-09-13,10
2020-09-20,9
2020-09-27,5
2020-10-04,10
2020-10-11,10
2020-10-18,11
2020-10-25,8
2020-11-01,8
2020-11-08,17
2020-11-15,17
2020-11-22,24
2020-11-29,17
2020-12-06,17
2020-12-13,100
2020-12-20,20
2020-12-27,30
2021-01-03,35
2021-01-10,46
2021-01-17,28
2021-01-24,30
2021-01-31,34
2021-02-07,66
2021-02-14,99
2021-02-21,63
2021-02-28,41
2021-03-07,39
2021-03-14,35
2021-03-21,28
2021-03-28,37
2021-04-04,40
