semaine,ethereum
2020-04-12,8
2020-04-19,10
2020-04-26,12
2020-05-03,11
2020-05-10,11
2020-05-17,10
2020-05-24,9
2020-05-31,11
2020-06-07,10
2020-06-14,9
2020-06-21,10
2020-06-28,9
2020-07-05,10
2020-07-12,9
2020-07-19,13
2020-07-26,24
2020-08-02,25
2020-08-09,19
2020-08-16,17
2020-08-23,13
2020-08-30,18
2020-09-06,14
2020-09-13,11
2020-09-20,11
2020-09-27,9
2020-10-04,8
2020-10-11,8
2020-10-18,10
2020-10-25,10
2020-11-01,12
2020-11-08,14
2020-11-15,19
2020-11-22,29
2020-11-29,21
2020-12-06,16
2020-12-13,21
2020-12-20,23
2020-12-27,40
2021-01-03,100
2021-01-10,83
2021-01-17,67
2021-01-24,66
2021-01-31,79
2021-02-07,91
2021-02-14,85
2021-02-21,89
2021-02-28,58
2021-03-07,64
2021-03-14,57
2021-03-21,46
2021-03-28,62
2021-04-04,63
