Semaine,litecoin
2020-04-12,12
2020-04-19,15
2020-04-26,15
2020-05-03,15
2020-05-10,17
2020-05-17,12
2020-05-24,11
2020-05-31,12
2020-06-07,12
2020-06-14,11
2020-06-21,11
2020-06-28,10
2020-07-05,11
2020-07-12,10
2020-07-19,12
2020-07-26,21
2020-08-02,18
2020-08-09,15
2020-08-16,17
2020-08-23,14
2020-08-30,16
2020-09-06,10
2020-09-13,10
2020-09-20,10
2020-09-27,9
2020-10-04,10
2020-10-11,10
2020-10-18,13
2020-10-25,15
2020-11-01,15
2020-11-08,15
2020-11-15,29
2020-11-22,29
2020-11-29,27
2020-12-06,17
2020-12-13,35
2020-12-20,42
2020-12-27,53
2021-01-03,98
2021-01-10,72
2021-01-17,49
2021-01-24,47
2021-01-31,54
2021-02-07,82
2021-02-14,100
2021-02-21,73
2021-02-28,50
2021-03-07,56
2021-03-14,50
2021-03-21,37
2021-03-28,43
2021-04-04,52
